# Sky Wavelength, Sky Intensity, Water Wavelength, Water Intensity
385,2714,390,2023
388,2770,393,2141
390,2832,396,2398
393,2992,398,2695
396,3351,401,2995
398,3773,403,3206
401,4226,406,3354
403,4479,409,3553
406,4684,411,3691
409,4907,414,3773
411,5080,416,3823
414,5208,419,3796
416,5238,422,3738
419,5138,424,3622
421,5070,427,3489
424,4831,429,3456
427,4658,432,3452
429,4577,434,3523
432,4534,437,3588
434,4537,439,3633
437,4622,442,3680
439,4611,445,3817
442,4641,447,3873
444,4680,450,3950
447,4683,452,4016
449,4703,455,4054
452,4689,457,4194
454,4723,460,4274
457,4770,462,4379
459,4788,465,4509
462,4843,467,4640
464,4900,470,4762
467,4950,472,4952
469,5054,475,5125
472,5174,477,5259
474,5278,480,5314
477,5346,482,5363
479,5335,485,5386
482,5293,487,5436
484,5243,489,5471
487,5173,492,5592
489,5203,494,5575
492,5214,497,5569
494,5069,499,5516
496,5011,502,5465
499,4855,504,5464
501,4782,506,5430
504,4613,509,5344
506,4400,511,5238
509,4288,514,5110
511,4136,516,5114
513,4015,518,5140
516,3970,521,5267
518,3932,523,5401
520,3996,526,5591
523,4042,528,5715
525,4059,530,5885
528,4091,533,5981
530,4099,535,6033
532,4106,537,6080
535,4102,540,6215
537,4084,542,6263
539,4045,544,6323
542,3994,547,6409
544,3965,549,6471
546,3942,551,6457
549,3859,554,6493
551,3798,556,6480
553,3769,558,6500
556,3704,560,6504
558,3666,563,6479
560,3597,565,6438
562,3553,567,6396
565,3511,570,6343
567,3484,572,6406
569,3411,574,6344
571,3376,576,6368
574,3326,579,6378
576,3309,581,6413
578,3271,583,6347
580,3255,585,6252
583,3230,588,6160
585,3190,590,6072
587,3152,592,5937
589,3154,594,5864
591,3134,596,5766
594,3146,599,5593
596,3125,601,5507
598,3117,603,5437
600,3111,605,5364
602,3123,607,5345
605,3104,609,5312
607,3090,612,5243
609,3053,614,5265
611,3032,616,5272
613,3024,618,5201
615,3002,620,5206
617,3006,622,5167
620,2987,624,5135
622,2995,626,5088
624,2992,629,5036
626,2981,631,5031
628,2988,633,5016
630,3000,635,5008
632,2997,637,5015
634,3000,639,4976
636,2971,641,4942
638,2946,643,4858
640,2938,645,4852
642,2879,647,4788
645,2852,649,4669
647,2814,651,4549
649,2745,653,4375
651,2720,655,4183
653,2710,657,4077
655,2644,659,3971
657,2644,661,3869
659,2614,663,3783
661,2623,665,3672
663,2600,667,3583
665,2553,669,3464
667,2525,671,3399
669,2487,673,3379
671,2442,675,3326
673,2444,677,3290
674,2370,679,3315
676,2354,681,3235
678,2331,683,3178
680,2268,685,3157
682,2229,687,3115
684,2166,689,3099
686,2120,691,3080
688,2096,693,3117
690,2098,695,3137
692,2112,696,3078
694,2106,698,3036
696,2070,700,2994
697,2072,702,2929
699,2034,704,2864
701,1999,706,2768
703,2006,708,2675
705,1968,710,2583
707,1976,711,2462
709,1953,713,2314
710,1923,715,2182
712,1897,717,2055
714,1860,719,1966
716,1825,720,1846
718,1804,722,1775
719,1764,724,1733
721,1763,726,1679
723,1747,728,1631
725,1725,729,1598
727,1739,731,1552
728,1741,733,1542
730,1732,735,1509
732,1737,736,1479
734,1723,738,1485
735,1740,740,1455
737,1726,742,1448
